街道方向熵,地理区域
3.189729531,西北地区
3.264058035,西北地区
2.701949733,西北地区
3.154353277,西北地区
2.368270625,西北地区
2.901026157,西北地区
3.377203451,西北地区
3.011084787,西北地区
2.740371984,西北地区
3.403096977,西北地区
2.77742505,西北地区
2.921303062,西北地区
2.813814301,西北地区
2.996422989,西北地区
3.415803254,西北地区
3.111070792,西北地区
2.877677497,西北地区
2.970576992,西北地区
2.924768768,西北地区
2.511700979,西北地区
2.276664676,西北地区
3.066384986,西北地区
3.148915109,西北地区
2.585536453,西北地区
3.041874138,西北地区
2.716726695,西北地区
2.957966545,西北地区
3.372008474,西北地区
3.375133891,西北地区
2.35073461,西北地区
2.827565987,西北地区
2.418957784,西北地区
2.173925383,西北地区
3.35430153,西北地区
2.883365858,西北地区
3.038226482,西北地区
2.378169791,西北地区
2.261536408,西北地区
2.539203616,西北地区
3.04274388,西北地区
3.179472101,西北地区
3.499308773,西北地区
2.363522089,西北地区
3.440277162,西北地区
2.39474376,西北地区
2.604123717,西北地区
3.026454638,北方地区
3.154889303,北方地区
3.22786553,北方地区
3.433592893,北方地区
2.226309752,北方地区
3.054564421,北方地区
3.082942817,北方地区
2.735064454,北方地区
2.628019328,北方地区
3.1346091,北方地区
2.865283201,北方地区
2.933896407,北方地区
3.273585055,北方地区
2.84195129,北方地区
3.034327196,北方地区
2.838751379,北方地区
3.348240596,北方地区
2.885891008,北方地区
3.251393767,北方地区
3.143511482,北方地区
3.388931379,北方地区
3.491274518,北方地区
2.852883301,北方地区
2.700636142,北方地区
2.933821615,北方地区
3.030163946,北方地区
2.471542871,北方地区
3.388887169,北方地区
2.969518839,北方地区
2.263776929,北方地区
2.301714952,北方地区
2.390699912,北方地区
2.55947491,北方地区
2.968000898,北方地区
3.390360566,北方地区
3.166015719,北方地区
3.084002453,北方地区
2.535088455,北方地区
3.115037036,北方地区
2.501853372,北方地区
2.707888448,北方地区
3.415253463,北方地区
2.589191519,北方地区
3.069667951,北方地区
3.004649942,北方地区
3.180980374,北方地区
2.777681591,北方地区
3.175835693,北方地区
2.446911492,北方地区
2.686902482,北方地区
2.628464863,北方地区
2.702601879,北方地区
2.857843214,北方地区
2.410345727,北方地区
2.743104522,北方地区
2.640306876,北方地区
3.051077971,北方地区
2.639913262,北方地区
2.788316233,北方地区
2.827135932,北方地区
2.698754347,北方地区
2.258744702,北方地区
2.92384579,北方地区
2.70325823,北方地区
2.25143057,北方地区
2.470759952,北方地区
2.695287196,北方地区
2.122247038,北方地区
3.543358232,北方地区
3.200202408,北方地区
2.300039508,北方地区
2.487519657,北方地区
2.654927649,北方地区
2.555174768,北方地区
2.486517552,北方地区
2.951026567,北方地区
2.468388425,北方地区
2.413395742,北方地区
2.35944009,北方地区
2.698841046,北方地区
2.360999174,北方地区
2.473329233,北方地区
2.546483414,北方地区
2.533939531,北方地区
2.725331527,北方地区
2.155493975,北方地区
2.305281546,北方地区
3.158455318,北方地区
2.632350232,北方地区
3.379075664,北方地区
3.380630473,北方地区
3.212141946,北方地区
3.493118913,北方地区
3.47090322,北方地区
3.441988323,北方地区
3.280699657,北方地区
3.023384032,北方地区
2.936128815,北方地区
3.041778682,北方地区
3.077048808,北方地区
2.999512986,北方地区
3.255471907,北方地区
3.208669036,北方地区
3.261404435,北方地区
3.512860488,北方地区
3.490193902,北方地区
3.180257106,北方地区
3.288149413,北方地区
2.788443031,北方地区
2.585067083,北方地区
2.80307413,北方地区
2.871236626,北方地区
2.394924147,北方地区
3.046559327,北方地区
3.293689478,北方地区
2.710560601,北方地区
3.283703867,北方地区
3.075139889,北方地区
2.908405423,北方地区
2.52503548,北方地区
2.140906686,北方地区
2.147860582,北方地区
2.930180801,北方地区
2.268312033,北方地区
2.762736883,北方地区
2.195784561,北方地区
3.025876312,北方地区
2.991580763,北方地区
2.819948825,北方地区
2.738588275,北方地区
