Entropy,Area
3.189729531,NorthWest
3.264058035,NorthWest
2.701949733,NorthWest
3.154353277,NorthWest
2.368270625,NorthWest
2.901026157,NorthWest
3.377203451,NorthWest
3.011084787,NorthWest
2.740371984,NorthWest
3.403096977,NorthWest
2.77742505,NorthWest
2.921303062,NorthWest
2.813814301,NorthWest
2.996422989,NorthWest
3.415803254,NorthWest
3.111070792,NorthWest
2.877677497,NorthWest
2.970576992,NorthWest
2.924768768,NorthWest
2.511700979,NorthWest
2.276664676,NorthWest
3.066384986,NorthWest
3.148915109,NorthWest
2.585536453,NorthWest
3.041874138,NorthWest
2.716726695,NorthWest
2.957966545,NorthWest
3.372008474,NorthWest
3.375133891,NorthWest
2.35073461,NorthWest
2.827565987,NorthWest
2.418957784,NorthWest
2.173925383,NorthWest
3.35430153,NorthWest
2.883365858,NorthWest
3.038226482,NorthWest
2.378169791,NorthWest
2.261536408,NorthWest
2.539203616,NorthWest
3.04274388,NorthWest
3.179472101,NorthWest
3.499308773,NorthWest
2.363522089,NorthWest
3.440277162,NorthWest
2.39474376,NorthWest
2.604123717,NorthWest
3.026454638,North
3.154889303,North
3.22786553,North
3.433592893,North
2.226309752,North
3.054564421,North
3.082942817,North
2.735064454,North
2.628019328,North
3.1346091,North
2.865283201,North
2.933896407,North
3.273585055,North
2.84195129,North
3.034327196,North
2.838751379,North
3.348240596,North
2.885891008,North
3.251393767,North
3.143511482,North
3.388931379,North
3.491274518,North
2.852883301,North
2.700636142,North
2.933821615,North
3.030163946,North
2.471542871,North
3.388887169,North
2.969518839,North
2.263776929,North
2.301714952,North
2.390699912,North
2.55947491,North
2.968000898,North
3.390360566,North
3.166015719,North
3.084002453,North
2.535088455,North
3.115037036,North
2.501853372,North
2.707888448,North
3.415253463,North
2.589191519,North
3.069667951,North
3.004649942,North
3.180980374,North
2.777681591,North
3.175835693,North
2.446911492,North
2.686902482,North
2.628464863,North
2.702601879,North
2.857843214,North
2.410345727,North
2.743104522,North
2.640306876,North
3.051077971,North
2.639913262,North
2.788316233,North
2.827135932,North
2.698754347,North
2.258744702,North
2.92384579,North
2.70325823,North
2.25143057,North
2.470759952,North
2.695287196,North
2.122247038,North
3.543358232,North
3.200202408,North
2.300039508,North
2.487519657,North
2.654927649,North
2.555174768,North
2.486517552,North
2.951026567,North
2.468388425,North
2.413395742,North
2.35944009,North
2.698841046,North
2.360999174,North
2.473329233,North
2.546483414,North
2.533939531,North
2.725331527,North
2.155493975,North
2.305281546,North
3.158455318,North
2.632350232,North
3.379075664,North
3.380630473,North
3.212141946,North
3.493118913,North
3.47090322,North
3.441988323,North
3.280699657,North
3.023384032,North
2.936128815,North
3.041778682,North
3.077048808,North
2.999512986,North
3.255471907,North
3.208669036,North
3.261404435,North
3.512860488,North
3.490193902,North
3.180257106,North
3.288149413,North
2.788443031,North
2.585067083,North
2.80307413,North
2.871236626,North
2.394924147,North
3.046559327,North
3.293689478,North
2.710560601,North
3.283703867,North
3.075139889,North
2.908405423,North
2.52503548,North
2.140906686,North
2.147860582,North
2.930180801,North
2.268312033,North
2.762736883,North
2.195784561,North
3.025876312,North
2.991580763,North
2.819948825,North
2.738588275,North
3.318797682,North
3.013163391,North
2.544080681,North
2.886179625,North
2.47856974,North
2.401860811,North
2.416467917,North
2.457990245,North
3.278914658,North
2.993929224,North
3.103666439,North
3.298938063,North
2.835842751,North
3.224469099,North
2.178948736,North
3.25030451,North
2.741741297,North
3.115322865,North
3.354270053,North
3.155548371,North
3.048080634,North
3.193740503,North
3.514645433,North
3.069256613,North
3.149301495,North
3.351349296,North
2.984534612,North
2.56758849,North
2.374108432,North
3.529890065,North
2.871712902,North
3.457569412,North
3.344210747,North
3.107767396,North
2.52699312,North
3.431880431,North
2.734632705,North
2.826299424,North
2.388318457,North
2.234742941,North
2.659126268,North
2.84173317,North
2.374655278,North
2.500733155,North
2.631504168,North
2.541974053,North
2.421320922,North
3.265450097,North
2.268985492,North
2.901868361,North
2.354066674,North
1.597779321,North
3.492153542,North
3.260158721,North
3.037434915,North
2.100064656,North
2.488692984,North
2.268787883,North
2.517136975,North
1.945365849,North
2.698950916,North
2.750817756,North
3.159965427,North
3.381438403,North
2.89031574,North
3.017922972,North
2.633418069,North
3.049693494,North
3.418588169,North
3.302145788,North
3.365870504,North
2.866406494,North
3.148075917,North
3.237058356,North
2.406290202,North
2.609982237,North
2.853847709,North
3.154780681,North
3.106599859,North
3.314480063,North
2.648621326,North
3.241918224,North
3.434171799,North
3.245493879,North
3.177450794,North
2.601405599,North
3.364659787,North
3.462906762,North
2.754326667,North
3.133072831,North
2.682501825,North
2.534976834,North
2.6590116,North
3.040280784,North
3.172727934,North
2.846198921,North
3.031608863,North
3.033829168,North
2.377794439,North
2.287494703,North
2.651293755,North
2.598733413,North
2.66533014,North
2.736720501,North
2.568580484,North
2.759582403,North
2.511460927,North
2.461829595,North
2.309775382,North
2.744200004,North
3.146865203,North
2.841383749,North
3.123934588,North
2.699020178,North
3.393705905,North
2.536450608,North
2.970984698,North
2.172834486,North
2.737108491,North
2.703094581,North
3.289909106,North
3.246464806,North
3.044051071,North
2.394883891,North
2.877375721,North
2.564305189,North
2.913583909,North
3.235294937,North
2.699689491,North
2.779686558,North
3.324470603,North
2.923485881,North
2.553954816,North
2.903398,North
2.983244051,North
3.467442441,North
3.378448867,North
2.231690861,North
2.597928132,North
2.675234187,North
2.741455921,North
2.610145004,North
2.480442015,North
2.751490094,North
2.795523303,North
3.05218098,North
2.805780658,North
2.831735111,North
2.649182132,North
3.260537027,North
3.200405207,North
2.246352443,North
2.349767894,North
2.592011273,North
2.380480687,North
2.564558771,North
3.445853829,North
3.085297366,North
3.526726943,North
2.60622932,North
